"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\ImageFullscreenView.xaml", "XML", 0, 41, 0, 0, 0, 8, 49
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\MessagesView.g.cs", "C#", 22, 0, 0, 0, 14, 5, 41
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\MessagesView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\MessagesView.xaml", "XML", 0, 12, 0, 0, 0, 3, 15
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\NotificationsView.g.cs", "C#", 22, 0, 0, 0, 14, 5, 41
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\NotificationsView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\NotificationsView.xaml", "XML", 0, 12, 0, 0, 0, 3, 15
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\PhotosView.g.cs", "C#", 180, 0, 0, 0, 21, 25, 226
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\PhotosView.g.i.cs", "C#", 48, 0, 0, 0, 11, 12, 71
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\PhotosView.xaml", "XML", 0, 18, 0, 0, 0, 5, 23
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Window1.g.cs", "C#", 43, 0, 0, 0, 14, 5, 62
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Window1.g.i.cs", "C#", 30, 0, 0, 0, 11, 11, 52
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Window1.xaml", "XML", 0, 68, 0, 0, 0, 13, 81
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Window2.g.cs", "C#", 22, 0, 0, 0, 14, 5, 41
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Window2.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Window2.xaml", "XML", 0, 11, 0, 0, 0, 4, 15
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\XamlSaveStateFile.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\XamlTypeInfo.g.cs", "C#", 2186, 0, 0, 0, 31, 139, 2356
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\priconfig.xml", "XML", 0, 67, 0, 0, 0, 0, 67
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\App.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\App.g.i.cs", "C#", 51, 0, 0, 0, 14, 10, 75
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MainWindow.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MainWindow.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MsixContent\AppxBlockMap.xml", "XML", 0, 2, 0, 0, 0, 0, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MsixContent\AppxManifest.xml", "XML", 0, 919, 0, 0, 8, 0, 927
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MsixContent\MSIX\main_license.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MsixContent\MSIX\singleton_license.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\MsixContent\[Content_Types].xml", "XML", 0, 2, 0, 0, 0, 0, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\ShareX_windows.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 10, 5, 26
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\ShareX_windows.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 10, 0, 1, 11
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Themes\Generic.g.i.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\CallsView.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\CallsView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\FileTransferView.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\FileTransferView.g.i.cs", "C#", 34, 0, 0, 0, 11, 11, 56
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\MessagesView.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\MessagesView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\NotificationsView.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\NotificationsView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\PhotosView.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Views\PhotosView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Window1.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Window1.g.i.cs", "C#", 32, 0, 0, 0, 11, 11, 54
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Window2.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\Window2.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\XamlSaveStateFile.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\XamlTypeInfo.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\customWigets\FileItem.g.cs", "C#", 0, 0, 0, 0, 0, 1, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Release\net6.0-windows10.0.19041.0\win10-x64\customWigets\FileItem.g.i.cs", "C#", 46, 0, 0, 0, 11, 12, 69
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\test\net6.0-windows10.0.19041.0\win10-x64\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\test\net6.0-windows10.0.19041.0\win10-x64\App.g.cs", "C#", 7, 0, 0, 0, 8, 3, 18
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\test\net6.0-windows10.0.19041.0\win10-x64\App.g.i.cs", "C#", 51, 0, 0, 0, 14, 10, 75
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\test\net6.0-windows10.0.19041.0\win10-x64\App.xaml", "XML", 0, 54, 0, 0, 3, 11, 68
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\test\net6.0-windows10.0.19041.0\win10-x64\MainWindow.g.cs", "C#", 22, 0, 0, 0, 14, 5, 41
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\test\net6.0-windows10.0.19041.0\win10-x64\MainWindow.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\test\net6.0-windows10.0.19041.0\win10-x64\MainWindow.xaml", "XML", 0, 25, 0, 0, 0, 7, 32
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\test\net6.0-windows10.0.19041.0\win10-x64\MsixContent\AppxBlockMap.xml", "XML", 0, 2, 0, 0, 0, 0, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\test\net6.0-windows10.0.19041.0\win10-x64\MsixContent\AppxManifest.xml", "XML", 0, 919, 0, 0, 8, 0, 927
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\test\net6.0-windows10.0.19041.0\win10-x64\MsixContent\MSIX\main_license.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\test\net6.0-windows10.0.19041.0\win10-x64\MsixContent\MSIX\singleton_license.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\test\net6.0-windows10.0.19041.0\win10-x64\MsixContent\[Content_Types].xml", "XML", 0, 2, 0, 0, 0, 0, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\test\net6.0-windows10.0.19041.0\win10-x64\ShareX_windows.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 10, 5, 26
